Primary__Hotel Name,Primary__Google Travel,Primary__Total Reviews,Primary__Rating,Primary__Hotel Address,Primary__Contact Number,Primary__Official Website Link,Primary__Date,Primary__Check In Time,Primary__Check Out Time,Rates__Site Name,Rates__Price,Reviews__name,Reviews__review,Reviews__service rate__Rooms,Reviews__service rate__Service,Reviews__service rate__Location,Tripadvisor Ratings__Location,Tripadvisor Ratings__Cleanliness,Tripadvisor Ratings__Service,Tripadvisor Ratings__Value
,,,,,,,,,,Booking.com,"₹7,172",Michelle,#NAME?,5,5,3,,,,
,,,,,,,,,,Goibibo.com,"₹7,109",David,#NAME?,,,,,,,
,,,,,,,,,,KAYAK.co.in,"₹7,204",Jackie Peterson,Rooms are very nice but it is a bit off the beaten path. We were there on a Saturday night and they served a great breakfast for the guests,,,1,,,,
,,,,,,,,,,Reserving,"₹7,131",Dan M,"This was the most comfortable experience I've had in this area! The room was clean and spacious, the heater was quiet and kept the room at a comfortable temperature, and the place was quiet. …",5,5,5,,,,
,,,,,,,,,,Trip.com,"₹7,205",Verified Hotel Guest,"+EXCELLENT BREAKFAST-Staff who checked us in stated my room number out loud.  Most places no longer do that for safety.  There was another guest in line or I wouldn't have thought twice about it. Negative: """"",,,,,,,
,,,,,,,,,,Expedia.co.in,"₹7,202",Kristain Schutt,"This is an absolutely horrible hotel. Not only do they not clean their rooms or change the bedding after each guest leaves, they decide to accuse guests of using derogatory language towards staff when that was never the case with multiple witnesses telling the general manager that it never happened.The first night, we arrived late after flying all day to meet up with our family at this hotel. When we went to get into bed and pulled back the sheets, there was a significant amount of blood on the sheet. Not like run through the wash blood, but like the previous guest had a bloody nose and they never changed the sheets.Then, the next morning, my husband had to deal with the extremely unprofessional general manager. Instead of ""investigating"" the incident, he chose to pick out my husband because he had a bald head and green shirt with tattoos. The ironic thing was he wasn't the only bald headed man with a green shirt and tattoos. My husband asked the manager if he wanted us to leave, but the manager never asked us to. After the night before and that morning, our family was done. We had 6 rooms due to being their for a family death, and we all left because we felt unsafe and unwelcome. My husband and I made sure to record the room when we left because we were afraid that damage to the room would be done and blamed on us.So, if you want blood-stained sheets, filthy rooms, an unprofessional general manager, and an experience from hell, this would be your place to go.",1,3,4,,,,
,,,,,,,,,,Priceline,"₹7,172",Randy Balistreri,"Really nice place to just relax and enjoy the hot tub, pool, and mini kids water park. Bed was really comfortable. Lots of pillows to bury yourself into.Update: I've had to leave my trailer in their parking lot due to tire problem. They've been very lenient with the time. But I want to point out an Employee Shannon who went WAY above and beyond to help me out. She volunteered to go out to trailer and take pics so I didn't have to drive all the way from Milwaukee and then went back to get different angles. I AM so grateful for her help.",,,,,,,
,,,,,,,,,,Brek,"₹7,204",Jessica G,"The bed is comfortable however the WiFi and network connection is horrible. Dead spot for cell service as well. I’m staying for a week and have a ton of work to do, but the connection issues are making it a nightmare. The front desk clerk said she didn’t have the ability to do anything about it.",,,,,,,
,,,,,,,,,,Hotels.com,"₹7,202",Kelly King,"Pool area is not clean. Hair balls on several areas of the pool floor, hair along floor drains. Pool bathrooms very dirty, one bathroom had poo on the floor and plugged bowl. Bathroom was very stinky. Small kid area was closed for maintenance and wasn't told prior to paying.Stuff floating in hot tub and sand or some sort of grit on the seating and floor of the hot tub. In need of serious attention to maintenance and cleaning. We were initially put in a room that had broken air conditioning. Sofa / seating area old, worn, and dirty.Breakfast was good and plentiful.Kid and pet friendly.",4,5,5,,,,
,,,,,,,,,,Agoda,"₹7,204","""""",#NAME?,5,3,3,,,,
,,,,,,,,,,Hotelscombined.in,"₹7,204",Gabby Wright,"We stayed here last year and it was fine so we came back and it was very different. It must have been understaffed because there were major problems at checkin, garbage cans were overflowing, the pool area was a mess, and when I checked under our beds as we packed to go there was food and wrappers underneath them. Quiet hours were not enforced, either, with lots of guests hanging out loudly in the little lobby right outside our door. We left a night early.",4,5,4,,,,
,,,,,,,,,,Hotwire.com,"₹7,202",Shawn Steinberg,"Very clean rooms and plenty in of space for a family. Wifi is not great on the third floor, however is great with fast speed in pool area and first floor. Pool area was very clean with plenty of room to get comfortable well the kids played in the big splash pad which is up and working as of 12/25/2023. Overall very nice hotel close to the interstate with big parking lot.",5,5,5,,,,
,,,,,,,,,,BusinessHotels.com,"₹7,204",Anonymous,The room was clean when we arrived. The breakfast had lots of options and was well serviced by lady in charge. The front desk was friendly and always made notes of our comments. The problem we had was getting fresh towels. …,1,1,1,,,,
,,,,,,,,,,Wego,"₹7,193",s Mitchell,Nice clean hotel with very comfortable beds & pillows.  The room also had a small sofa sectional for relaxing.  The location was a bit odd but not out of the way.   They also had pools indoors & outside. Outside had a nice seating area by pool too.  This is a large spaced out hotel.   I would definitely return.,3,5,4,,,,
,,,,,,,,,,HomeToGo,"₹7,204",Jacky Chen,"Greeted by Dwight, excellent employee, very kind and answered all questions. Rooms were clean, coffee was great, one of the best breakfast you've had in quite a while at a hotel. The eggs were veggies were phenomenal. Kudos to the chef!We were expecting just the basic swimming pool but instead we got a mini water park! What a delightful surpriseOnly complaint we have is the side door we were entering into was broke and so the door was unlocked, this means anyone can come in at anytime. This hotel isn't a safe neighborhood but that was a drawback.Other than that we loved her stay. Thank you so much for the great experience.We recommend this hotel.",,,,,,,
,,,,,,,,,,Tripbtoz,"₹7,186",Troy,The very best place to stay in a 50 mile radius.Great value all around.Close to the outlet malls and plenty of taverns and restaurants.,4,4,4,,,,
,,,,,,,,,,Travelated 🇮🇳 India,"₹7,204",Mason,"Quiet hours are not observed in any way, shape, or form. Staff does nothing to help. Stay here if you don’t want to sleep.",4,4,3,,,,
,,,,,,,,,,Tripening Hotels,"₹7,277",Amy Johnson,"Our room had some ick on the ceiling and wall, but it was spacious. The pool was warm, which was fantastic. Breakfast was delicious.",1,1,2,,,,
,,,,,,,,,,Bluepillow.in,"₹7,172",Anonymous,"The hotel was full and I hardly saw or heard others except at elevators or entrances. The place was spotless, very well kept.  Staff was friendly and very accommodating.  They were there for the customers and that was obvious.  It was my first trip/experience in Wisconsin and the staff represented their state well.",,,,,,,
,,,,,,,,,,,,Jim L. (Jims Digging History),"I'm happy with my stay here. Pretty much everything was top notch, except for the frig/freezer being fully frozen up. I mentioned it to the front desk, but didn't feel like changing rooms. They gave me a small break on the room fee because I'm one that actually uses the freezer when away from home on multi day business trips. I'm satisfied, and will stay here again.",,,,,,,
,,,,,,,,,,,,Anonymous,The hotel is in a very noisy location being very close to the highway. The rooms themselves also are not very quiet. We could hear the guests walking around in the room above as the floor would creek and make noise. …,4,4,4,,,,
,,,,,,,,,,,,Nana65,Check in was not good. Lady at the desk was very short with us. She would respond very abrupbtly and acted as if we were interrupting her with our questions & was too busy to talk to us. …,5,5,5,,,,
,,,,,,,,,,,,Amanda & Jordan bott,The hot tub seams to always be broken. The kiddie pool is ice cold! The bathroom in the pool area had feces in it all weekend. It seams like no one is responsible for maintaining the pool area. We specifically came to let the kids have fun in the water on spring break. So it was kinda disappointing.We use to love this hotel and would come here to relax but the last few times the pool/hot tub/kiddie pool all had issues.The staff were all very nice and helpful. Hope they get the problems fixed correctly so this doesn't keep happening.Breakfast was very good. Very nice lady that puts it all out!,,,,,,,
,,,,,,,,,,,,savannah,"Terrible! There were dead elder bugs in my room i PAID for, the couch was very dingy and dirty and the beds had a stain on them. This is very horrendous, it’s like sleeping in a dirty train station in NYC but laying in a dog bed. They also moved us to the neighbor room, that was good i guess. But they didn't do anything else about it. They also told me they would clean the room and they never did. This is actually outrageous, i highly recommend not coming here. My vacation was terrible.",5,5,4,,,,
,,,,,,,,,,,,Anonymous,"The overall experience was average. The fobs did not let us in from the outside, and we were locked out several times. Also, even though we were very much looking forward after a long day, being able to relax in the hot tub, it was out of order.",5,2,3,,,,
,,,,,,,,,,,,Anonymous,"The rooms are a good size and the price is fantastic. We have stayed for special occasions, girls weekends, or just visiting family.  …",,,,,,,
,,,,,,,,,,,,Kristain S,"We are well traveled and have had some pretty terrible experiences, but this hotel has all of them beat. Blood stained sheets, unclean rooms, unprofessional general manager, and made to feel unsafe and unwelcome.",,,,,,,
,,,,,,,,,,,,Anonymous,"Overall we had a good experience. The check in progress was smooth, the rooms were fairly clean(we did find some used Kleenex behind the bed) and continental breakfast was really good. …",,,,,,,
,,,,,,,,,,,,Brent Erickson,"Hotel was clean and the rooms were quite large. Breakfast was a good select of cereal, eggs, sausage, waffles, breads, and drinks. Overall the hotel appears to be in a state of repair. Many things seem to be half fixed. On the second floor a hole was being repaired in the ceiling. One partial sheet of dry wall was installed but still had a large hole and wires hanging from the curling. Pool was large with basketball hoops. Hot tub was large with a jet timer. It does have a kiddy pool with water jets but you need to turn them on from the opposite side of pool area. Overall for the money not bad. Ones of the work is done it should be a middle of the road experience.",,,,,,,
,,,,,,,,,,,,Anonymous,"Room was dusty with hair found many places. Especially the bathroom. Hair on the lid of the ice bucket. Cable did not work more the half of the stay. When it did work, only half the channels worked. …",,,,,,,
,,,,,,,,,,,,cheeseheads98,"This hotel is absolutely amazing, staff goes above and beyond to make you feel welcome and comfortable. Breakfast is fantastic, the pool is the best pool we’ve been to and we travel for work so we go to a ton of hotels. The rooms are HUGE and the price is reasonable. Absolutely would recommend 100%!!",3,1,3,,,,
,,,,,,,,,,,,Anonymous,Stayed in one of the suite rooms. Carpet had stains and the couch had stains and a rip. There were clothes under the cabinet in the bathroom and in the bedroom so obviously was not cleaned thoroughly. …,,,,,,,
,,,,,,,,,,,,Travis,"+Room was nice and big and clean. Was in a quite area. Breakfast was good for what you got.-Bathroom fan cover was hanging down and needed fixed. The shower valve control cover was loose and needs fixed also. The TV was in a weird spot so watching from bed was hard. Kinda in a off beat area and hard to see at night to get there. Negative: """"",5,5,5,,,,
,,,,,,,,,,,,Anonymous,We rented a couple of rooms for my son’s 7th bday. They accommodated our requests for adjoining suits and one of the rooms was a “family room” which I’d never heard of but will never not stay in again! :). …,,,,,,,
,,,,,,,,,,,,Anonymous,It was not a clean hotel.  The bathroom of our suite still had dried up toothpaste and fake eyelashes on the counter.  …,,,,,,,
,,,,,,,,,,,,Wesley Hamilton,Good place. Rooms are big. Has breakfast.,4,5,4,,,,
,,,,,,,,,,,,tori love,"Nice facility.   The pool area is great.  Rooms are spacious and clean.Had to wait for breakfast items as they ran out, but was pleasant and said it was coming.    The TV service went out all day.It snowed, and I get that it takes a lot to get everything cleared.  But I told the front desk at 9;30am, the the walkway from the door to the parking lot hadn't been cleared, and I fell on my way to the car.  At 3, I returned back to the room, and the walkway still wasn't cleared. The walkway to the maintenance door was cleared with a shovel next to the door, so I took the shovel,  and my daughter and I cleared the path to the door.  When I told the girl at the front desk, she said the manager wasn't there, he didn't come in and she was told to take people's names and phone numbers and he'd reach out on Monday.Very poor service.",,,,,,,
,,,,,,,,,,,,Anonymous,"I loved everything about this hotel. The pool stays open until midnight. The free hot breakfast was delicious and the room where so clean and comfy. They had extra towels in the room and plus my room had a sofa bed which was excellent for my kiddos. I highly recommend this hotel, you will not be disappointed!!!!",3,2,1,,,,
,,,,,,,,,,,,Anonymous,"The only good thing about this hotel was the average breakfast. Dirty bathroom, clogged shower drain, black mold on the floor and ceiling, phone and TV guide in room didn't work. Pool railing fell off and hit a kid on the back of the head. Entry doors to hotel were broken and/or left open.",2,2,3,,,,
,,,,,,,,,,,,Anonymous,"Rooms were spacious with a very comfortable bed. Overall room quality was high. Our room was booked as part of a wedding block but unfortunately, other rooms in the block were not located close to one another. Breakfast was okay, just your typical hotel breakfast.",1,1,3,,,,
,,,,,,,,,,,,Anonymous,We arrived at the hotel for a one night stay to get to the pool to find the hot tub was closed. At check in this was not explained and I will add this was one of the things we were looking forward to at this hotel. …,4,4,5,,,,
,,,,,,,,,,,,Anonymous,"Everything was very clean and well set up. The room was a very good size and the beds and bedding were all clean and well prepared for our stay. The pool is very nice, but it was very loud and crowded, not unexpected for a weekend visit.",,,,,,,
,,,,,,,,,,,,Anonymous,"Our room was very musty and smelled but the staff was nice.  We weren't able to switch rooms which would have been nice.  Breakfast tasted good - I had coffee, eggs and bacon.",2,2,5,,,,
,,,,,,,,,,,,Tom BIETY,Garbage was not emptied by the ice machine on the third floor. Smelled like dirty dipers. Dogs barking through the night. Complained to the hotel at check out. Didn't seam to care.  No sorry for the inconvenience.  No thank you for staying with us.  I'll look somewhere else in the future.,5,5,5,,,,
,,,,,,,,,,,,Anonymous,"Need to fix outside access doors that don't work and don't provide security, second stay and still broken from last stay 9 months ago. …",4,1,4,,,,
,,,,,,,,,,,,Anonymous,"This hotel could be a great hotel if they would update some small things. Paint jobs, locks, improved breakfast areas and updates to the pool area. We like staying here for convenience and the size of the rooms but are disappointed with the quality for the price everytime.",,,,,,,
,,,,,,,,,,,,Anonymous,"This was our 2nd stay at this location in the past 3 months. The hotel was clean, staff friendly, a great continental breakfast with hot and cold items---if you left hungry it was your own fault,  nice pool area for kids of all ages. …",,,,,,,
,,,,,,,,,,,,Boaz Wilkin,"This is the joint! I love this place because it's a wonderful Water Park experience at a great price. Rooms have always been clean and well stocked. Employees have been kind, helpful, and considerate. The Water Park is great for small kids and the Hot Tub is great for all, nice and hot. If you are in the area I highly recommend this place for a Daycation or a Vacation Getaway, it won't let down. I don't throw five stars lightly.",5,5,5,,,,
,,,,,,,,,,,,Anonymous,"We stayed at this hotel previously and it was nice and quite clean. This time rooms smelled of urine, had lots of staining, no staffed house keeping. Definitely gone down hill and was still expensive.",,,,,,,
,,,,,,,,,,,,Anonymous,"location is good and front desk staff was friendly but the queen suite we stayed in needed major renovations. The curtains were very dirty and stained, the couch was torn in multiple places and was dirty. We will not stay in this hotel again and we will not recommend this location to anyone else.",2,3,3,,,,
,,,,,,,,,,,,Nick Chesak,"For parents with small kids (ours are 2, 5, and 8) this place is amazing for the price. We came predominantly for the pool and I can’t believe how much attention, in a good way, was payed to it. Staff constantly checked the cleanliness and chemical levels. The hot tub, kiddie pool and main pool are all pretty good sized (sometimes pics online can be deceiving) so it was never too crowded. Considering breakfast is free, that was phenomenal too. Hot and cold options that were constantly stocked and super friendly staff. The rooms won’t blow your mind or anything, but with 2 adults, 3 kids and a dog it had everything we needed and was spacious enough. Every staff member we encountered was polite and ensured our stay was enjoyable. Not a knock on the hotel at all, but if you’re coming with small kids take advantage of the fridge and microwave in your room because there aren’t a ton of family friendly restaurants (other than fast food) in the immediate area.",5,5,5,,,,
,,,,,,,,,,,,Anonymous,"It was a very nice place to stay.  We were there for a wedding.  All the family stayed in the hotel, which made it easy for all of us to meet for breakfast.  Great food for the breakfast. Lots of variety.  It was nice to all be the same place for the happy occasion.",,,,,,,
,,,,,,,,,,,,Happy Smiley (Ole Happy),We were running out of hot water for 3 days. Typically stay at Wyndham Rewards member and regretted trying something new,,,,,,,
,,,,,,,,,,,,Heather Kautenburg,"Where to start, it was an experience for sure. Started out computers were down, so I had to wait to check in. For two nights.  Just want to say that the employees at check-in were awesome . The beds were not bad . Here is my  issue,  I left Saturday morning, put a ""do not  disturb"" sign on the door,  came back Saturday afternoon,  and all my personal items were scattered all around the room went to complain,  I was told that they made a mistake and that they cleaned my room. Went back up and discovered that the refreshments I had purchased were missing, and the garage had not been empty.  And they supposedly cleaned my room.  I went back down, and they were in the office.  My point is that all my stuff was in my room and a phone call should be made to front desk . And then my personal property should not have been touched.  When my family and I packed room to leave checked every nook and cranny, discovered a blue moon ice cream stuck in the freezer.  It was not ours.",,,,,,,
,,,,,,,,,,,,Metessa Burzynski,"I stayed at this hotel in May of 2023, my 1st room had lots of hair when pulling back the sheets. Staff were quick to get me a different room, after being locked out of my room the 2nd night I found out they ultimately put me in a room that was not to be rented out due to it ""needing a deep clean"". It definitely did, it was not very clean at all.Next stay July 2023, on my 2nd day, my hot water was not working and the tub and sink drain was not draining, I let front desk know and they stated it would be repaired within the 8 hours I would be gone. I returned to the problem not fixed, and I don't think it was even addressed. After speaking with the front desk I was put into a different room, supposedly the last available room. This room was utterly disgusting. There was hair and stains in the bed, toenail clippings and other debris on the floor, a thick layer of dust, hair, and grime on not common surfaces, the PTAC unit was full of dust, dirt, and grime as well, the couch was full of various colored stains. I was given clean sheets for the night. When talking to William Miller, the General Manager, he disregarded the hot water issue stating, ""well that isn't a quick fix, so yeah it wasn't fixed, they should have put you in a different room."" When I told him about the condition of the 2nd room, he was not very apologetic and didn't seem to validate the concerns at all. He stated he would refund my stay, but didn't, I had to call again to request it, and he never returned my call. I can definitely see why his building is in the condition it is in.On my way out, I used a side door, it was not locked, and the security lock keypad was dismantled, making the door accessible to anyone. I see from previous google reviews, this has been a problem for a few months now. I will not be staying here again.",,,,,,,
,,,,,,,,,,,,Noah Hakl,"Room was great other than I was right next to elevator. That noise you heard easily in the bathroom but the main room it wasn't noticeable but anyone talking as they used it you heard very clear. Pool was shutdown one of the 5 days I was there without notice but wasn't a big deal for me that day. Pool was very clean and hot tub was great, nice and warm.  Breakfast was good, decent selection for this hotel type. Cinnamon rolls for Sunday was nice. Tea and coffee available all day and there is a small shop with a few things like candy, drinks, aspirin. Check in was simple. Staff was always friendly and the cleaning crew worked very hard to get things ready. Stayed twice and will return in the future.",3,3,5,,,,
,,,,,,,,,,,,Anonymous,"Out hotel stay at the Comfort Suites would have been rated excellent if the hotel would have heated the pool properly.  We went here for a quick getaway from the Wisconsin cold, only to find a cold pool.  …",3,3,3,,,,
,,,,,,,,,,,,Verified Hotel Guest,"+It  has a nice  little pool and kiddie pool park-They have downsized  the breakfast.  No bagels.  No  cream cheese.  No fruit.  Minimalist now.  it seems to be in  decline Negative: """"",4,2,4,,,,
,,,,,,,,,,,,Gisela Robles,"The room was beautiful but the room was not cleaned at all. Dust all over bed headboard, counters,bathroom was dirty. Pool area needs maintenance but thepool was nice as well as the hot tub. Breakfast was pretty good enjoyed it. On my way out used the restroom in lobby area it was disgusting and smelled horrible super dirty. Kind of disappointed on how filthy. But beautiful room.disgusting",,,,,,,
,,,,,,,,,,,,Alec Black,"Almost NO ONE was here, it was amazing. Great pool, comfy rooms, everything well maintained. The breakfast options were awesome too.",,,,,,,
,,,,,,,,,,,,Anonymous,There was poop spread all over the men’s bathroom by the pool area for over 2 days.  Hot tub was cloudy and cold.  Kid pool was freezing. Pool was shut down for an entire day when that was the whole reason we stayed there.  …,,,,,,,
,,,,,,,,,,,,Kimberly Hickey,Nice room and location.  I didn’t appreciate the tone taken with me by reception when I had to change an arrival date on a room I had paid for in advance.  Snarkiness has no place in customer service.  Do better.,,,,,,,
,,,,,,,,,,,,Anonymous,The comfort suites was perfect for the banquet we attended. We had a show in the area and it was close to the location at which we were showing. I would recommend it for business or family travel. The pool area was extremely loud with only a few people in there but it looks fun for kiddos.,,,,,,,
,,,,,,,,,,,,Anonymous,It needs staff to clean . Floors in main area were never mopped while we were there. Dirty doors. Elevators. Need a maintenance man or someone to stay on top of that. Not enough staff to properly clean the rooms. …,,,,,,,
,,,,,,,,,,,,Anonymous,"We arrived very late from our travels. Check in was fast and easy. We had a room with a hot tub that we enjoyed very much. We did have to clean it before getting in it however, as there was what appeared to be pubic hairs left behind. …",5,3,3,,,,
,,,,,,,,,,,,Elizabeth Gansen,"Beautiful suite with a nice pool for kids and adults.  The price for amenities was fair.  Nice breakfast.  We will be returning!This hotel would have received 5 stars, but the refrigerator was moved from below the television, revealing open wiring.  With a small child in the room, this was a safety concern (easily manageable by placing an ottoman in the way) that should have been addressed prior to the room being made available.",2,2,2,,,,
,,,,,,,,,,,,Sandra Zhe,Had our family Christmas in one of their smaller conference rooms. The staff was very accommodating and helpful. The overnight rooms were very comfortable.,,,,,,,
,,,,,,,,,,,,Anonymous,Smoke detector was ripped out of the ceiling in our room. Room smelled like it had been smoked in. Whirlpool was out of order during stay and there was rust on the kiddie pool equipment so was scared to use. Only decent thing was the continental breakfast and the front desk staff were friendly.,,,,,,,
,,,,,,,,,,,,Unknown,The curtain was falling out. The shelf the Micowove was dusty. The ice machine room was smelly and nasty.The garbage all over the hotel was over flowing. The pool however was great.,,,,,,,
,,,,,,,,,,,,Natalie Mercer,We were only in town for one night but it was the best night sleep I've had in months,,,,,,,
,,,,,,,,,,,,Steve R,"The room was overused and overbooked with few updates!  Breakfast was Ok. Staff needs to learn how to use the vacuum cleaner. Lint covered the rollway bed pillows and comforter. Found garbage under the rollway bed. As stated, room meets the bare minimum standards, it does not delight the customer.",,,,,,,
,,,,,,,,,,,,Anonymous,We stay in this hotel the day after Independence Day 2015 and were very happy with everything. …,,,,,,,
